Chinese,English
21 點,Blackjack (Card Game)
Food Network 美食頻道,Food Network
GPS 導航裝置,GPS Navigation Device
Huggies 好奇,Huggies
Lexus 汽車,Lexus
MAC 化妝品,MAC Cosmetics
NBA 總決賽,NBA Finals
Nike 球鞋,Nike Shoes
Nissan 汽車,Nissan
T 恤,T-Shirt
Top Gear 極速誌,Top Gear Magazine
一般工藝部落格和網站,General Craft Blogs and Websites
一般生活風格內容,General Lifestyle Content
一般保險,General Insurance
一般健康,General Health
二手車,Used Car
二手商品,Second-Hand Goods
人力資源管理,Human Resource Management
人力銀行,Job Bank
人工智慧,Artificial Intelligence (AI)
人造指甲,Artificial Nails
人壽保險,Life Insurance
人際關係,Interpersonal Relationships
人體營養,Human Nutrition
三星電子,Samsung Electronics
上班族,Office Worker
也必須符合：房屋,Also Match: Housing
也必須符合：興趣：房屋,Also Match: Interest: Housing
凡賽斯,Versace
口紅,Lipstick
土木工程,Civil Engineering
大自然,Nature
大型企業對企業,Large B2B Enterprise
大型多人網路角色扮演遊戲,MMORPG
大型多人線上遊戲,Massively Multiplayer Online Game (MMO)
大掃除,Deep Cleaning
大眾媒體,Mass Media
大數據,Big Data
大學,University / College
女性精品服飾零售商,Women's Luxury Clothing Retailer
女裝品牌,Women's Fashion Brand
小工具,Gadget
小型企業,Small Business
小型企業對企業,Small B2B Enterprise
小型商業軟體,Small Business Software
小型雇主,Small Employer
小說,Novel / Fiction
小學,Elementary School
小學和中學教育,Primary and Secondary Education
山脈,Mountain Range
工作,Work / Job
工作父母,Working Parents
工作坊,Workshop
工具,Tool
工具機,Machine Tool
工程,Engineering
工程和理工學院,Engineering and Technical College
工業工程,Industrial Engineering
工廠,Factory
不動產,Real Estate / Property
不動產投資信託,Real Estate Investment Trust (REIT)
中小型企業,Small and Medium Enterprise (SME)
中央處理器,Central Processing Unit (CPU)
中式料理,Chinese Cuisine
中型企業對企業,Medium B2B Enterprise
中學,Secondary School
五金行,Hardware Store
內容行銷,Content Marketing
內容和教學,Content and Teaching
公司,Company / Corporation
公共運輸,Public Transportation
公寓,Apartment
公寓大樓,Condominium
公路自行車,Road Cycling
公路旅行,Road Trip
化妝刷,Makeup Brush
化妝品,Cosmetics / Makeup
化妝品品牌,Cosmetics Brand
天使投資人,Angel Investor
天然食品,Natural Food
天然護膚,Natural Skincare
太陽能,Solar Energy
太陽能光電,Solar Photovoltaic
心理學,Psychology
心理勵志,Psychological Motivation
戶外,Outdoor
戶外休閒活動,Outdoor Recreation
戶外裝備和服裝,Outdoor Gear and Clothing
手工藝,Crafts / Handicraft
手工藝零售商,Craft Retailer
手動工具,Hand Tools
手機,Smartphone / Mobile Phone
手機配件,Phone Accessories
手機遊戲,Mobile Games
手錶,Watch
文化,Culture
文化歷史,Cultural History
文化遺產,Cultural Heritage
文具,Stationery
文學,Literature
日本料理,Japanese Cuisine
日本消費電子產品品牌,Japanese Consumer Electronics Brand
日漫,Japanese Manga / Anime
木工,Woodworking / Carpentry
水,Water
水果,Fruit
水晶,Crystal
